ventas_precios_constantes
27477.3
25223.4
26334.3
27045.9
25631.9
26365.4
27819.4
27394.1
26404.3
27766.7
28425.3
34084.5
26736.7
25650.7
28846.7
26429.5
26430.5
27465.9
27033.4
26267.3
24310.8
25010.5
24891.7
31136.1
23888.7
22542.0
24647.7
23073.8
22852.1
23803.4
23580.1
24329.9
22144.7
24652.7
24270.7
29147.9
23483.3
23702.0
26996.7
23142.7
24012.7
23449.5
22953.0
21628.0
24105.8
24010.7
29931.1
24420.0
22322.6
24627.6
23407.5
23368.4
23678.0
24779.5
23990.1
22962.0
25386.7
25026.6
31595.7
23802.1
24612.4
24140.5
23234.2
