efectivo
10230100.13
9719067.341
10244442.51
10312632.37
10147613.34
10565493.5
10905912.74
11041625.27
10789170.33
11220307.43
11657995.8
13710305.37
11705433.57
10720300.95
12955730.46
11685359.59
11925300.09
13517215.49
14061294.34
13783068.02
14307986.24
15413337.43
15412653.11
19372979.31
16005633.83
15466783.51
17737278.5
17102015.74
17247751.27
17995550.11
18548992.46
19745340.25
19561438.28
21884744.73
22763201.55
27960470.5
25121140.42
23982883.64
26532575.53
22263621.15
24917663.39
24031410.14
24868416.65
24268469.26
27348110.5
28832513.45
36284788.05
31878415.61
30090418.94
33646699.76
33030717.34
33391018.41
34735136.74
37973547.56
38180625.56
38080750.86
43323345.69
43762928.15
56640033.15
46290956.21
51262080.99
53189998.68
52738110.62
