salon_ventas
27591730.13
25749179.4
27472228.72
28827479.49
27569311.41
28763865.42
30815311.77
30763355.89
30135595.7
31980223.91
33122387.95
40320285.28
32103107.86
75836086.41135594
75836086.41135594
75836086.41135594
75836086.41135594
75836086.41135594
75836086.41135594
38852702.48
39313002.17
42646486.71
44076960.79
56452356.42
44740575.24
43914187.06
50347782.68
48939565.17
49813853.04
53591716.25
54121341.62
58647926.48
56887830.18
65144928.12
66454203.74
82246180.68
69104127.61
71514175.15
84174875.51
71798954.71
74966605.03
74554853.96
76406528.27
73111415.16
84622602.75
86255330.61
111830218.6
94524545.27
89908053.02
103243215.3
102742178.6
104997658.2
111477594.5
120904098.3
120181530.9
118585472.2
136000643.3
135950778.8
178866721.2
148406529.3
164321107.3
173003799.1
175358487.5
