tarjetas_debito
6864575.384
6438494.011
6908522.962
7454251.8
6735747.319
7337456.597
8183012.318
7899351.017
7888243.177
8695476.803
8324348.807
11070098.74
8391851.736
8607859.28
9144000.037
8980714.558
8668139.054
9513855.561
10619025.06
10164619.78
10187454.22
10495359.76
11132996.57
16252211.76
11687681.67
12330583.27
13685678.1
13152280.51
13838777.26
15507030.32
15609905.91
16044555.34
15872044.55
17749686.58
16506702.37
21105019.72
16421681.81
18677850.86
22420795.89
20850415.69
19703362.4
20569940.21
21188270.69
20660854.98
23565536.12
23551887.33
31300615.02
26481717.36
26089199.97
28304088.35
28509160.1
29448299.39
32637663.36
37146178.9
19953140.374546874
34575381.28
39697514.99
39925207.45
55432191.37
45283575.25
47364363.88
50063972.79
49886787.86
