ventas_totales_medio_pago
27858872.08
25994200.17
27780006.52
29134272.22
27969004.68
29132712.74
31182302.46
31154880.94
30521506.2
32445983.01
33628982.66
40766322.1
32479208.01
31736824.55
36531291.33
34113745.67
35133146.39
38338209.75
39278449.96
39491907.27
39925549.0
43420253.82
44849446.01
57203955.86
45433623.71
44592144.9
51065694.25
49621409.28
50778299.91
54413419.61
55044482.26
59672104.46
57885306.41
66325579.59
67943710.19
83524644.29
70145010.27
72494433.66
85778031.09
75009596.64
78594521.82
78232859.6
80411973.29
77055774.36
89224281.05
91093507.31
115806128.1
98007583.25
92954233.68
107225884.5
106870185.9
110604694.6
116287893.0
125658552.5
124840320.0
123002252.4
140487487.3
141701960.7
183983151.9
152202573.4
168982502.3
177148082.8
179639238.6
