canales_on_line
267141.956
245020.769
307777.804
306792.733
399693.262
368847.326
366990.683
391525.052
385910.498
465759.1013
506594.7055
446036.8247
376100.1496
379379.7186
475878.274
491474.6886
725754.7977
593413.6363
581799.0562
639204.7898
612546.8226
773767.1168
772485.2141
751599.4412
693048.4704
677957.8398
717911.5715
681844.104
964446.8743
821703.3617
923140.633
1024177.978
997476.2268
1180651.478
1489506.445
1278463.614
1040882.661
980258.5147
1603155.575
3210641.929
3627916.795
3678005.643
4005445.016
3944359.195
4601678.305
4838176.706
3975909.551
3483037.987
3046180.666
3982669.194
4128007.244
5607036.33
4810298.41
4754454.215
4658789.02
4416780.259
4486843.92
5751181.809
5116430.634
3796044.076
466134.9981
4144283.743
4280751.113
