ventas_precios_corrientes
27858.9
25994.2
27780.0
29134.3
27969.0
29132.7
31182.3
31154.9
30521.5
32446.0
33629.0
40766.3
32479.2
31736.8
36531.3
34113.7
35133.1
38338.2
39278.4
39491.9
39925.5
43420.3
44849.4
57204.0
45433.6
44592.1
51065.7
49621.4
50778.3
54413.4
55044.5
59672.1
57885.3
66325.6
67943.7
83524.6
70145.0
72494.4
85778.0
75009.6
78594.5
78232.9
80412.0
77055.8
89224.3
200.5
115806.1
98007.6
92954.2
107225.9
106870.2
110604.7
116287.9
125658.6
124840.3
123002.3
140487.5
141702.0
183983.2
152202.6
16.5
177148.1
179639.2
