otros_medios
1716991.073
1527488.518
1782030.557
1909221.374
1864714.157
2033652.189
1930477.521
2098727.771
2048214.044
1082741.605
1093173.933
1409909.758
1125176.058
1044013.985
1256186.194
1254380.943
1298209.604
1683246.06
1446787.388
1546973.084
1332661.336
1502570.944
1530240.874
1982093.356
1517896.757
1464584.101
1673185.771
1630779.815
1678749.473
1685301.948
1690975.835
2100804.851
1839128.726
2258229.708
2218080.261
2859088.144
2322351.557
2592663.181
3107850.463
3336033.666
4222823.826
4298917.238
4710872.144
4542810.416
5056938.047
5238654.451
6662054.394
5225838.555
4662749.261
5553760.201
5801873.388
6632776.246
6840933.135
6811495.634
6982561.109
6900208.91
7306784.95
7261581.669
8911251.213
6922148.759
7940040.869
3450811.52440625
8944251.942
