tarjetas_credito
9047205.493
8309150.301
8845010.494
9458166.682
9220929.862
9196110.463
10162899.88
27261995.326862067
9795878.643
11447457.18
12553464.11
14576008.24
11256746.65
11364650.34
13175374.63
12193290.58
13241497.64
13623892.63
13151343.17
13997246.39
14097447.21
27261995.326862067
27261995.326862067
27261995.326862067
27261995.326862067
27261995.326862067
17969551.88
17736333.21
18013021.92
19225537.23
19194608.05
21781404.02
20612694.85
24432918.57
26455726.0
31600065.93
26279836.48
27241035.99
33716809.2
28559526.14
29750672.2
29332592.01
29644413.81
27583639.7
33253696.39
33470452.08
41558670.65
34421611.73
32111865.51
39721336.18
39528435.06
41132600.51
42074159.72
43727330.44
44242610.35
43445911.38
50159841.63
50752243.39
62999676.15
53705893.17
27261995.326862067
65357591.09
68070088.23
